Date	Price	Open	High	Low	Vol.	Change %
Dec 01, 2024	816.8	788.35	818.85	781	62.58M	3.86%
Nov 01, 2024	786.45	847.95	847.95	759.2	255.66M	-5.71%
Oct 01, 2024	834.05	976.9	984.5	825.7	274.83M	-14.43%
Sep 01, 2024	974.65	1,105.00	1,105.00	949.2	296.46M	-12.30%
Aug 01, 2024	1,111.35	1,167.00	1,176.00	1,008.40	284.78M	-3.92%
Jul 01, 2024	1,156.65	989.75	1,179.00	967.2	272.46M	16.86%
Jun 01, 2024	989.75	960.04	1,010.25	852.77	247.69M	7.56%
May 01, 2024	920.16	1,016.86	1,047.12	916.17	307.14M	-8.42%
Apr 01, 2024	1,004.80	996.92	1,026.33	941.1	169.28M	1.52%
Mar 01, 2024	989.75	956	1,062.32	918.37	274.75M	4.48%
Feb 01, 2024	947.28	897.23	973	873.6	220.83M	7.46%
Jan 01, 2024	881.48	782.59	893.74	773.86	236.39M	13.37%
Dec 01, 2023	777.55	705.82	800.43	694.11	214.35M	10.41%
Nov 01, 2023	704.23	628.06	715.04	624.37	220.39M	12.37%
Oct 01, 2023	626.72	630.65	675.72	606.43	215.85M	-0.25%
Sep 01, 2023	628.26	602.34	645.01	600.05	182.50M	4.86%
Aug 01, 2023	599.15	643.02	650.89	591.47	275.09M	-6.72%
Jul 01, 2023	642.32	598.15	663.35	583.15	261.75M	8.19%
Jun 01, 2023	593.72	525.88	597.16	521.24	261.02M	13.16%
May 01, 2023	524.68	481.02	535.5	473.09	291.54M	8.53%
Apr 01, 2023	483.46	421.7	486.5	418.21	214.62M	15.24%
Mar 01, 2023	419.51	420.2	440.69	399.22	181.11M	0.02%
Feb 01, 2023	419.41	455.39	460.08	411.78	199.38M	-6.95%
Jan 01, 2023	450.71	391.29	453.4	379.83	416.34M	16.54%
